A_Date,大陆及香港假期
9/30/2020,
9/29/2020,
9/28/2020,
9/27/2020,
9/26/2020,周末
9/25/2020,
9/24/2020,
9/23/2020,
9/22/2020,
9/21/2020,
9/20/2020,周末
9/19/2020,周末
9/18/2020,
9/17/2020,
9/16/2020,
9/15/2020,
9/14/2020,
9/13/2020,周末
9/12/2020,周末
9/11/2020,
9/10/2020,
9/9/2020,
9/8/2020,
9/7/2020,
9/6/2020,周末
9/5/2020,周末
9/4/2020,
9/3/2020,
9/2/2020,
9/1/2020,
8/31/2020,
8/30/2020,周末
8/29/2020,周末
8/28/2020,
8/27/2020,
8/26/2020,
8/25/2020,
8/24/2020,
8/23/2020,周末
8/22/2020,周末
8/21/2020,
8/20/2020,
8/19/2020,
8/18/2020,
8/17/2020,
8/16/2020,周末
8/15/2020,周末
8/14/2020,
8/13/2020,
8/12/2020,
8/11/2020,
8/10/2020,
8/9/2020,周末
8/8/2020,周末
8/7/2020,
8/6/2020,
8/5/2020,
8/4/2020,
8/3/2020,
8/2/2020,周末
8/1/2020,周末
7/31/2020,
7/30/2020,
7/29/2020,
7/28/2020,
7/27/2020,
7/26/2020,周末
7/25/2020,周末
7/24/2020,
7/23/2020,
7/22/2020,
7/21/2020,
7/20/2020,
7/19/2020,周末
7/18/2020,周末
7/17/2020,
7/16/2020,
7/15/2020,
7/14/2020,
7/13/2020,
7/12/2020,周末
7/11/2020,周末
7/10/2020,
7/9/2020,
7/8/2020,
7/7/2020,
7/6/2020,
7/5/2020,周末
7/4/2020,周末
7/3/2020,
7/2/2020,
7/1/2020,回归纪念日
6/30/2020,
6/29/2020,
6/28/2020,
6/27/2020,CN假期
6/26/2020,CN假期
6/25/2020,端午节;CN假期
6/24/2020,
6/23/2020,
6/22/2020,
6/21/2020,周末
6/20/2020,周末
6/19/2020,
6/18/2020,
6/17/2020,
6/16/2020,
6/15/2020,
6/14/2020,周末
6/13/2020,周末
6/12/2020,
6/11/2020,
6/10/2020,
6/9/2020,
6/8/2020,
6/7/2020,周末
6/6/2020,周末
6/5/2020,
6/4/2020,
6/3/2020,
6/2/2020,
6/1/2020,
5/31/2020,周末
5/30/2020,周末
5/29/2020,
5/28/2020,
5/27/2020,
5/26/2020,
5/25/2020,
5/24/2020,周末
5/23/2020,周末
5/22/2020,
5/21/2020,
5/20/2020,
5/19/2020,
5/18/2020,
5/17/2020,周末
5/16/2020,周末
5/15/2020,
5/14/2020,
5/13/2020,
5/12/2020,
5/11/2020,
5/10/2020,周末
5/9/2020,
5/8/2020,
5/7/2020,
5/6/2020,
5/5/2020,CN假期
5/4/2020,CN假期
5/3/2020,CN假期
5/2/2020,CN假期
5/1/2020,劳动节;CN假期
4/30/2020,佛诞
4/29/2020,
4/28/2020,
4/27/2020,
4/26/2020,
4/25/2020,周末
4/24/2020,
4/23/2020,
4/22/2020,
4/21/2020,
4/20/2020,
4/19/2020,周末
4/18/2020,周末
4/17/2020,
4/16/2020,
4/15/2020,
4/14/2020,
4/13/2020,复活节
4/12/2020,周末
4/11/2020,复活节周末
4/10/2020,复活节
4/9/2020,
4/8/2020,
4/7/2020,
4/6/2020,CN假期
4/5/2020,CN假期
4/4/2020,清明节;CN假期
4/3/2020,
4/2/2020,
4/1/2020,
3/31/2020,
3/30/2020,
3/29/2020,周末
3/28/2020,周末
3/27/2020,
3/26/2020,
3/25/2020,
3/24/2020,
3/23/2020,
3/22/2020,周末
3/21/2020,周末
3/20/2020,
3/19/2020,
3/18/2020,
3/17/2020,
3/16/2020,
3/15/2020,周末
3/14/2020,周末
3/13/2020,
3/12/2020,
3/11/2020,
3/10/2020,
3/9/2020,
3/8/2020,周末
3/7/2020,周末
3/6/2020,
3/5/2020,
3/4/2020,
3/3/2020,
3/2/2020,
3/1/2020,周末
2/29/2020,周末
2/28/2020,
2/27/2020,
2/26/2020,
2/25/2020,
2/24/2020,
2/23/2020,周末
2/22/2020,周末
2/21/2020,
2/20/2020,
2/19/2020,
2/18/2020,
2/17/2020,
2/16/2020,周末
2/15/2020,周末
2/14/2020,
2/13/2020,
2/12/2020,
2/11/2020,
2/10/2020,
2/9/2020,周末
2/8/2020,周末
2/7/2020,
2/6/2020,
2/5/2020,
2/4/2020,
2/3/2020,
2/2/2020,CN假期
2/1/2020,CN假期
1/31/2020,CN假期
1/30/2020,CN假期
1/29/2020,CN假期
1/28/2020,春节;CN假期
1/27/2020,春节;CN假期
1/26/2020,CN假期
1/25/2020,春节;CN假期
1/24/2020,CN假期
1/23/2020,
1/22/2020,
1/21/2020,
1/20/2020,
1/19/2020,
1/18/2020,周末
1/17/2020,
1/16/2020,
1/15/2020,
1/14/2020,
1/13/2020,
1/12/2020,周末
1/11/2020,周末
1/10/2020,
1/9/2020,
1/8/2020,
1/7/2020,
1/6/2020,
1/5/2020,周末
1/4/2020,周末
1/3/2020,
1/2/2020,
1/1/2020,元旦;CN假期
12/31/2019,
12/30/2019,
12/29/2019,周末
12/28/2019,周末
12/27/2019,
12/26/2019,圣诞节
12/25/2019,圣诞节
12/24/2019,
12/23/2019,
12/22/2019,周末
12/21/2019,周末
12/20/2019,
12/19/2019,
12/18/2019,
12/17/2019,
12/16/2019,
12/15/2019,周末
12/14/2019,周末
12/13/2019,
12/12/2019,
12/11/2019,
12/10/2019,
12/9/2019,
12/8/2019,周末
12/7/2019,周末
12/6/2019,
12/5/2019,
12/4/2019,
12/3/2019,
12/2/2019,
12/1/2019,周末
11/30/2019,周末
11/29/2019,
11/28/2019,
11/27/2019,
11/26/2019,
11/25/2019,
11/24/2019,周末
11/23/2019,周末
11/22/2019,
11/21/2019,
11/20/2019,
11/19/2019,
11/18/2019,
11/17/2019,周末
11/16/2019,周末
11/15/2019,
11/14/2019,
11/13/2019,
11/12/2019,
11/11/2019,
11/10/2019,周末
11/9/2019,周末
11/8/2019,
11/7/2019,
11/6/2019,
11/5/2019,
11/4/2019,
11/3/2019,周末
11/2/2019,周末
11/1/2019,
10/31/2019,
10/30/2019,
10/29/2019,
10/28/2019,
10/27/2019,周末
10/26/2019,周末
10/25/2019,
10/24/2019,
10/23/2019,
10/22/2019,
10/21/2019,
10/20/2019,周末
10/19/2019,周末
10/18/2019,
10/17/2019,
10/16/2019,
10/15/2019,
10/14/2019,
10/13/2019,周末
10/12/2019,
10/11/2019,
10/10/2019,
10/9/2019,
10/8/2019,
10/7/2019,重阳节;CN假期
10/6/2019,CN假期
10/5/2019,CN假期
10/4/2019,CN假期
10/3/2019,CN假期
10/2/2019,CN假期
10/1/2019,国庆节;CN假期
9/30/2019,
9/29/2019,
9/28/2019,周末
9/27/2019,
9/26/2019,
9/25/2019,
9/24/2019,
9/23/2019,
9/22/2019,周末
9/21/2019,周末
9/20/2019,
9/19/2019,
9/18/2019,
9/17/2019,
9/16/2019,
9/15/2019,CN假期
9/14/2019,中秋节;CN假期
9/13/2019,CN假期
9/12/2019,
9/11/2019,
9/10/2019,
9/9/2019,
9/8/2019,周末
9/7/2019,周末
9/6/2019,
9/5/2019,
9/4/2019,
9/3/2019,
9/2/2019,
9/1/2019,周末
8/31/2019,周末
8/30/2019,
8/29/2019,
8/28/2019,
8/27/2019,
8/26/2019,
8/25/2019,周末
8/24/2019,周末
8/23/2019,
8/22/2019,
8/21/2019,
8/20/2019,
8/19/2019,
8/18/2019,周末
8/17/2019,周末
8/16/2019,
8/15/2019,
8/14/2019,
8/13/2019,
8/12/2019,
8/11/2019,周末
8/10/2019,周末
8/9/2019,
8/8/2019,
8/7/2019,
8/6/2019,
8/5/2019,
8/4/2019,周末
8/3/2019,周末
8/2/2019,
8/1/2019,
7/31/2019,
7/30/2019,
7/29/2019,
7/28/2019,周末
7/27/2019,周末
7/26/2019,
7/25/2019,
7/24/2019,
7/23/2019,
7/22/2019,
7/21/2019,周末
7/20/2019,周末
7/19/2019,
7/18/2019,
7/17/2019,
7/16/2019,
7/15/2019,
7/14/2019,周末
7/13/2019,周末
7/12/2019,
7/11/2019,
7/10/2019,
7/9/2019,
7/8/2019,
7/7/2019,周末
7/6/2019,周末
7/5/2019,
7/4/2019,
7/3/2019,
7/2/2019,
7/1/2019,回归纪念日
6/30/2019,周末
6/29/2019,周末
6/28/2019,
6/27/2019,
6/26/2019,
6/25/2019,
6/24/2019,
6/23/2019,周末
6/22/2019,周末
6/21/2019,
6/20/2019,
6/19/2019,
6/18/2019,
6/17/2019,
6/16/2019,周末
6/15/2019,周末
6/14/2019,
6/13/2019,
6/12/2019,
6/11/2019,
6/10/2019,
6/9/2019,CN假期
6/8/2019,CN假期
6/7/2019,端午节;CN假期
6/6/2019,
6/5/2019,
6/4/2019,
6/3/2019,
6/2/2019,周末
6/1/2019,周末
5/31/2019,
5/30/2019,
5/29/2019,
5/28/2019,
5/27/2019,
5/26/2019,周末
5/25/2019,周末
5/24/2019,
5/23/2019,
5/22/2019,
5/21/2019,
5/20/2019,
5/19/2019,周末
5/18/2019,周末
5/17/2019,
5/16/2019,
5/15/2019,
5/14/2019,
5/13/2019,佛诞
5/12/2019,周末
5/11/2019,周末
5/10/2019,
5/9/2019,
5/8/2019,
5/7/2019,
5/6/2019,
5/5/2019,
5/4/2019,CN假期
5/3/2019,CN假期
5/2/2019,CN假期
5/1/2019,劳动节;CN假期
4/30/2019,
4/29/2019,
4/28/2019,
4/27/2019,周末
4/26/2019,
4/25/2019,
4/24/2019,
4/23/2019,
4/22/2019,复活节
4/21/2019,周末
4/20/2019,复活节周末
4/19/2019,复活节
4/18/2019,
4/17/2019,
4/16/2019,
4/15/2019,
4/14/2019,周末
4/13/2019,周末
4/12/2019,
4/11/2019,
4/10/2019,
4/9/2019,
4/8/2019,
4/7/2019,CN假期
4/6/2019,CN假期
4/5/2019,清明节;CN假期
4/4/2019,
4/3/2019,
4/2/2019,
4/1/2019,
3/31/2019,周末
3/30/2019,周末
3/29/2019,
3/28/2019,
3/27/2019,
3/26/2019,
3/25/2019,
3/24/2019,周末
3/23/2019,周末
3/22/2019,
3/21/2019,
3/20/2019,
3/19/2019,
3/18/2019,
3/17/2019,周末
3/16/2019,周末
3/15/2019,
3/14/2019,
3/13/2019,
3/12/2019,
3/11/2019,
3/10/2019,周末
3/9/2019,周末
3/8/2019,
3/7/2019,
3/6/2019,
3/5/2019,
3/4/2019,
3/3/2019,周末
3/2/2019,周末
3/1/2019,
2/28/2019,
2/27/2019,
2/26/2019,
2/25/2019,
2/24/2019,周末
2/23/2019,周末
2/22/2019,
2/21/2019,
2/20/2019,
2/19/2019,
2/18/2019,
2/17/2019,周末
2/16/2019,周末
2/15/2019,
2/14/2019,
2/13/2019,
2/12/2019,
2/11/2019,
2/10/2019,CN假期
2/9/2019,CN假期
2/8/2019,CN假期
2/7/2019,春节;CN假期
2/6/2019,春节;CN假期
2/5/2019,春节;CN假期
2/4/2019,CN假期
2/3/2019,
2/2/2019,
2/1/2019,
1/31/2019,
1/30/2019,
1/29/2019,
1/28/2019,
1/27/2019,周末
1/26/2019,周末
1/25/2019,
1/24/2019,
1/23/2019,
1/22/2019,
1/21/2019,
1/20/2019,周末
1/19/2019,周末
1/18/2019,
1/17/2019,
1/16/2019,
1/15/2019,
1/14/2019,
1/13/2019,周末
1/12/2019,周末
1/11/2019,
1/10/2019,
1/9/2019,
1/8/2019,
1/7/2019,
1/6/2019,周末
1/5/2019,周末
1/4/2019,
1/3/2019,
1/2/2019,
1/1/2019,元旦;CN假期
12/31/2018,CN假期
12/30/2018,CN假期
12/29/2018,
12/28/2018,
12/27/2018,
12/26/2018,圣诞节
12/25/2018,圣诞节
12/24/2018,
12/23/2018,周末
12/22/2018,周末
12/21/2018,
12/20/2018,
12/19/2018,
12/18/2018,
12/17/2018,
12/16/2018,周末
12/15/2018,周末
12/14/2018,
12/13/2018,
12/12/2018,
12/11/2018,
12/10/2018,
12/9/2018,周末
12/8/2018,周末
12/7/2018,
12/6/2018,
12/5/2018,
12/4/2018,
12/3/2018,
12/2/2018,周末
12/1/2018,周末
11/30/2018,
11/29/2018,
11/28/2018,
11/27/2018,
11/26/2018,
11/25/2018,周末
11/24/2018,周末
11/23/2018,
11/22/2018,
11/21/2018,
11/20/2018,
11/19/2018,
11/18/2018,周末
11/17/2018,周末
11/16/2018,
11/15/2018,
11/14/2018,
11/13/2018,
11/12/2018,
11/11/2018,周末
11/10/2018,周末
11/9/2018,
11/8/2018,
11/7/2018,
11/6/2018,
11/5/2018,
11/4/2018,周末
11/3/2018,周末
11/2/2018,
11/1/2018,
10/31/2018,
10/30/2018,
10/29/2018,
10/28/2018,周末
10/27/2018,周末
10/26/2018,
10/25/2018,
10/24/2018,
10/23/2018,
10/22/2018,
10/21/2018,周末
10/20/2018,周末
10/19/2018,
10/18/2018,
10/17/2018,重阳节
10/16/2018,
10/15/2018,
10/14/2018,周末
10/13/2018,周末
10/12/2018,
10/11/2018,
10/10/2018,
10/9/2018,
10/8/2018,
10/7/2018,CN假期
10/6/2018,CN假期
10/5/2018,CN假期
10/4/2018,CN假期
10/3/2018,CN假期
10/2/2018,CN假期
10/1/2018,国庆节;CN假期
9/30/2018,
9/29/2018,
9/28/2018,
9/27/2018,
9/26/2018,
9/25/2018,中秋节
9/24/2018,CN假期
9/23/2018,CN假期
9/22/2018,CN假期
9/21/2018,
9/20/2018,
9/19/2018,
9/18/2018,
9/17/2018,
9/16/2018,周末
9/15/2018,周末
9/14/2018,
9/13/2018,
9/12/2018,
9/11/2018,
9/10/2018,
9/9/2018,周末
9/8/2018,周末
9/7/2018,
9/6/2018,
9/5/2018,
9/4/2018,
9/3/2018,
9/2/2018,周末
9/1/2018,周末
8/31/2018,
8/30/2018,
8/29/2018,
8/28/2018,
8/27/2018,
8/26/2018,周末
8/25/2018,周末
8/24/2018,
8/23/2018,
8/22/2018,
8/21/2018,
8/20/2018,
8/19/2018,周末
8/18/2018,周末
8/17/2018,
8/16/2018,
8/15/2018,
8/14/2018,
8/13/2018,
8/12/2018,周末
8/11/2018,周末
8/10/2018,
8/9/2018,
8/8/2018,
8/7/2018,
8/6/2018,
8/5/2018,周末
8/4/2018,周末
8/3/2018,
8/2/2018,
8/1/2018,
7/31/2018,
7/30/2018,
7/29/2018,周末
7/28/2018,周末
7/27/2018,
7/26/2018,
7/25/2018,
7/24/2018,
7/23/2018,
7/22/2018,周末
7/21/2018,周末
7/20/2018,
7/19/2018,
7/18/2018,
7/17/2018,
7/16/2018,
7/15/2018,周末
7/14/2018,周末
7/13/2018,
7/12/2018,
7/11/2018,
7/10/2018,
7/9/2018,
7/8/2018,周末
7/7/2018,周末
7/6/2018,
7/5/2018,
7/4/2018,
7/3/2018,
7/2/2018,回归纪念日
7/1/2018,周末
6/30/2018,周末
6/29/2018,
6/28/2018,
6/27/2018,
6/26/2018,
6/25/2018,
6/24/2018,周末
6/23/2018,周末
6/22/2018,
6/21/2018,
6/20/2018,
6/19/2018,
6/18/2018,端午节;CN假期
6/17/2018,CN假期
6/16/2018,CN假期
6/15/2018,
6/14/2018,
6/13/2018,
6/12/2018,
6/11/2018,
6/10/2018,周末
6/9/2018,周末
6/8/2018,
6/7/2018,
6/6/2018,
6/5/2018,
6/4/2018,
6/3/2018,周末
6/2/2018,周末
6/1/2018,
5/31/2018,
5/30/2018,
5/29/2018,
5/28/2018,
5/27/2018,周末
5/26/2018,周末
5/25/2018,
5/24/2018,
5/23/2018,
5/22/2018,佛诞
5/21/2018,
5/20/2018,周末
5/19/2018,周末
5/18/2018,
5/17/2018,
5/16/2018,
5/15/2018,
5/14/2018,
5/13/2018,周末
5/12/2018,周末
5/11/2018,
5/10/2018,
5/9/2018,
5/8/2018,
5/7/2018,
5/6/2018,周末
5/5/2018,周末
5/4/2018,
5/3/2018,
5/2/2018,
5/1/2018,劳动节;CN假期
4/30/2018,CN假期
4/29/2018,CN假期
4/28/2018,
4/27/2018,
4/26/2018,
4/25/2018,
4/24/2018,
4/23/2018,
4/22/2018,周末
4/21/2018,周末
4/20/2018,
4/19/2018,
4/18/2018,
4/17/2018,
4/16/2018,
4/15/2018,周末
4/14/2018,周末
4/13/2018,
4/12/2018,
4/11/2018,
4/10/2018,
4/9/2018,
4/8/2018,
4/7/2018,CN假期
4/6/2018,CN假期
4/5/2018,清明节;CN假期
4/4/2018,
4/3/2018,
4/2/2018,复活节
4/1/2018,周末
3/31/2018,复活节周末
3/30/2018,复活节
3/29/2018,
3/28/2018,
3/27/2018,
3/26/2018,
3/25/2018,周末
3/24/2018,周末
3/23/2018,
3/22/2018,
3/21/2018,
3/20/2018,
3/19/2018,
3/18/2018,周末
3/17/2018,周末
3/16/2018,
3/15/2018,
3/14/2018,
3/13/2018,
3/12/2018,
3/11/2018,周末
3/10/2018,周末
3/9/2018,
3/8/2018,
3/7/2018,
3/6/2018,
3/5/2018,
3/4/2018,周末
3/3/2018,周末
3/2/2018,
3/1/2018,
2/28/2018,
2/27/2018,
2/26/2018,
2/25/2018,周末
2/24/2018,
2/23/2018,
2/22/2018,
2/21/2018,CN假期
2/20/2018,CN假期
2/19/2018,春节;CN假期
2/18/2018,CN假期
2/17/2018,春节;CN假期
2/16/2018,春节;CN假期
2/15/2018,CN假期
2/14/2018,
2/13/2018,
2/12/2018,
2/11/2018,
2/10/2018,周末
2/9/2018,
2/8/2018,
2/7/2018,
2/6/2018,
2/5/2018,
2/4/2018,周末
2/3/2018,周末
2/2/2018,
2/1/2018,
1/31/2018,
1/30/2018,
1/29/2018,
1/28/2018,周末
1/27/2018,周末
1/26/2018,
1/25/2018,
1/24/2018,
1/23/2018,
1/22/2018,
1/21/2018,周末
1/20/2018,周末
1/19/2018,
1/18/2018,
1/17/2018,
1/16/2018,
1/15/2018,
1/14/2018,周末
1/13/2018,周末
1/12/2018,
1/11/2018,
1/10/2018,
1/9/2018,
1/8/2018,
1/7/2018,周末
1/6/2018,周末
1/5/2018,
1/4/2018,
1/3/2018,
1/2/2018,
1/1/2018,元旦;CN假期
